"zip","city","state_id","state_name","county_fips","county_name","county_names_all","county_fips_all"
"00601","Adjuntas","PR","Puerto Rico","72001","Adjuntas","Adjuntas|Utuado","72001|72141"
"00602","Aguada","PR","Puerto Rico","72003","Aguada","Aguada","72003"
"00603","Aguadilla","PR","Puerto Rico","72005","Aguadilla","Aguadilla|Moca","72005|72099"
"00606","Maricao","PR","Puerto Rico","72093","Maricao","Maricao|Yauco|Sabana Grande","72093|72153|72121"
"00610","Anasco","PR","Puerto Rico","72011","Añasco","Añasco|Moca|Las Marías|Aguada","72011|72099|72083|72003"
"00611","Angeles","PR","Puerto Rico","72141","Utuado","Utuado","72141"
"00612","Arecibo","PR","Puerto Rico","72013","Arecibo","Arecibo|Hatillo|Barceloneta","72013|72065|72017"
"00616","Bajadero","PR","Puerto Rico","72013","Arecibo","Arecibo","72013"
"00617","Barceloneta","PR","Puerto Rico","72017","Barceloneta","Barceloneta|Florida","72017|72054"
"00622","Boqueron","PR","Puerto Rico","72023","Cabo Rojo","Cabo Rojo","72023"
"00623","Cabo Rojo","PR","Puerto Rico","72023","Cabo Rojo","Cabo Rojo","72023"
"00624","Penuelas","PR","Puerto Rico","72111","Peñuelas","Peñuelas|Ponce","72111|72113"
"00627","Camuy","PR","Puerto Rico","72027","Camuy","Camuy","72027"
"00631","Castaner","PR","Puerto Rico","72081","Lares","Lares|Adjuntas","72081|72001"
"00636","Rosario","PR","Puerto Rico","72125","San Germán","San Germán","72125"
"00637","Sabana Grande","PR","Puerto Rico","72121","Sabana Grande","Sabana Grande|San Germán|Lajas","72121|72125|72079"
"00638","Ciales","PR","Puerto Rico","72039","Ciales","Ciales|Orocovis|Manatí","72039|72107|72091"
"00641","Utuado","PR","Puerto Rico","72141","Utuado","Utuado","72141"
"00646","Dorado","PR","Puerto Rico","72051","Dorado","Dorado|Vega Alta","72051|72143"
"00647","Ensenada","PR","Puerto Rico","72055","Guánica","Guánica|Lajas","72055|72079"
"00650","Florida","PR","Puerto Rico","72054","Florida","Florida|Utuado|Manatí|Ciales|Arecibo|Barceloneta","72054|72141|72091|72039|72013|72017"
"00652","Garrochales","PR","Puerto Rico","72013","Arecibo","Arecibo","72013"
"00653","Guanica","PR","Puerto Rico","72055","Guánica","Guánica|Sabana Grande","72055|72121"
"00656","Guayanilla","PR","Puerto Rico","72059","Guayanilla","Guayanilla|Yauco|Peñuelas","72059|72153|72111"
"00659","Hatillo","PR","Puerto Rico","72065","Hatillo","Hatillo","72065"
"00660","Hormigueros","PR","Puerto Rico","72067","Hormigueros","Hormigueros","72067"
"00662","Isabela","PR","Puerto Rico","72071","Isabela","Isabela","72071"
"00664","Jayuya","PR","Puerto Rico","72073","Jayuya","Jayuya|Utuado","72073|72141"
"00667","Lajas","PR","Puerto Rico","72079","Lajas","Lajas|San Germán","72079|72125"
"00669","Lares","PR","Puerto Rico","72081","Lares","Lares|Utuado|Las Marías|San Sebastián","72081|72141|72083|72131"
"00670","Las Marias","PR","Puerto Rico","72083","Las Marías","Las Marías|Añasco|Mayagüez|Maricao","72083|72011|72097|72093"
"00674","Manati","PR","Puerto Rico","72091","Manatí","Manatí|Vega Baja","72091|72145"
"00676","Moca","PR","Puerto Rico","72099","Moca","Moca|Aguada","72099|72003"
"00677","Rincon","PR","Puerto Rico","72117","Rincón","Rincón|Añasco|Aguada","72117|72011|72003"
"00678","Quebradillas","PR","Puerto Rico","72115","Quebradillas","Quebradillas|Isabela|San Sebastián","72115|72071|72131"
"00680","Mayaguez","PR","Puerto Rico","72097","Mayagüez","Mayagüez|San Germán|Añasco","72097|72125|72011"
"00682","Mayaguez","PR","Puerto Rico","72097","Mayagüez","Mayagüez|Hormigueros","72097|72067"
"00683","San German","PR","Puerto Rico","72125","San Germán","San Germán","72125"
"00685","San Sebastian","PR","Puerto Rico","72131","San Sebastián","San Sebastián|Isabela|Moca","72131|72071|72099"
"00687","Morovis","PR","Puerto Rico","72101","Morovis","Morovis","72101"
"00688","Sabana Hoyos","PR","Puerto Rico","72013","Arecibo","Arecibo","72013"
"00690","San Antonio","PR","Puerto Rico","72005","Aguadilla","Aguadilla","72005"
"00692","Vega Alta","PR","Puerto Rico","72143","Vega Alta","Vega Alta|Vega Baja","72143|72145"
"00693","Vega Baja","PR","Puerto Rico","72145","Vega Baja","Vega Baja|Vega Alta|Manatí","72145|72143|72091"
"00694","Vega Baja","PR","Puerto Rico","72145","Vega Baja","Vega Baja","72145"
"00698","Yauco","PR","Puerto Rico","72153","Yauco","Yauco|Guayanilla","72153|72059"
"00703","Aguas Buenas","PR","Puerto Rico","72007","Aguas Buenas","Aguas Buenas|Cidra|Comerío","72007|72041|72045"
"00704","Aguirre","PR","Puerto Rico","72123","Salinas","Salinas|Guayama","72123|72057"
"00705","Aibonito","PR","Puerto Rico","72009","Aibonito","Aibonito|Coamo","72009|72043"
"00707","Maunabo","PR","Puerto Rico","72095","Maunabo","Maunabo","72095"
"00714","Arroyo","PR","Puerto Rico","72015","Arroyo","Arroyo","72015"
"00715","Mercedita","PR","Puerto Rico","72113","Ponce","Ponce|Juana Díaz","72113|72075"
"00716","Ponce","PR","Puerto Rico","72113","Ponce","Ponce","72113"
"00717","Ponce","PR","Puerto Rico","72113","Ponce","Ponce","72113"
"00718","Naguabo","PR","Puerto Rico","72103","Naguabo","Naguabo|Ceiba","72103|72037"
"00719","Naranjito","PR","Puerto Rico","72105","Naranjito","Naranjito|Corozal|Comerío|Toa Alta","72105|72047|72045|72135"
"00720","Orocovis","PR","Puerto Rico","72107","Orocovis","Orocovis|Coamo","72107|72043"
"00723","Patillas","PR","Puerto Rico","72109","Patillas","Patillas|Maunabo","72109|72095"
"00725","Caguas","PR","Puerto Rico","72025","Caguas","Caguas|Guaynabo|San Lorenzo|San Juan|Trujillo Alto|Aguas Buenas","72025|72061|72129|72127|72139|72007"
"00727","Caguas","PR","Puerto Rico","72025","Caguas","Caguas","72025"
"00728","Ponce","PR","Puerto Rico","72113","Ponce","Ponce","72113"
"00729","Canovanas","PR","Puerto Rico","72029","Canóvanas","Canóvanas|Loíza","72029|72087"
"00730","Ponce","PR","Puerto Rico","72113","Ponce","Ponce","72113"
"00731","Ponce","PR","Puerto Rico","72113","Ponce","Ponce|Adjuntas","72113|72001"
